Graph,Algorithm,Max threads,median,std
"('Preferential attachment 100 edges per vertice', 1000)",Boost BoruvkaMixedMerge,14,986886.0331115,24322.135398195773
"('Preferential attachment 100 edges per vertice', 1000)",Boost BoruvkaMixedMerge,16,1060767.0592655,20055.89928312261
"('Preferential attachment 100 edges per vertice', 1000)",Boost BoruvkaMixedMerge,18,1096174.561035,28606.71914490837
"('Preferential attachment 100 edges per vertice', 1000)",Boost BoruvkaThenMerge,1,75092.38427750001,653.624239992894
"('Preferential attachment 100 edges per vertice', 1000)",Boost BoruvkaThenMerge,2,344887.52734349994,6303.80212690886
"('Preferential attachment 100 edges per vertice', 1000)",Boost BoruvkaThenMerge,4,635597.9938660001,11143.728192194052
"('Preferential attachment 100 edges per vertice', 1000)",Boost BoruvkaThenMerge,6,628117.670166,4729.621564256299
"('Preferential attachment 100 edges per vertice', 1000)",Boost BoruvkaThenMerge,8,634533.1567385,5208.7926370336145
"('Preferential attachment 100 edges per vertice', 1000)",Boost BoruvkaThenMerge,10,950288.6049805,17297.389781990027
"('Preferential attachment 100 edges per vertice', 1000)",Boost BoruvkaThenMerge,12,949329.525513,12232.79516056259
"('Preferential attachment 100 edges per vertice', 1000)",Boost BoruvkaThenMerge,14,978592.7148435,23572.547731804076
"('Preferential attachment 100 edges per vertice', 1000)",Boost BoruvkaThenMerge,16,1062519.850952,20595.40862382505
"('Preferential attachment 100 edges per vertice', 1000)",Boost BoruvkaThenMerge,18,1095552.7770079998,26592.01794817526
"('Preferential attachment 100 edges per vertice', 1000)",Boost DenseBoruvka,1,75053.138611,526.580891621631
"('Preferential attachment 100 edges per vertice', 1000)",Boost DenseBoruvka,2,73774.7950135,1239.2922017830447
"('Preferential attachment 100 edges per vertice', 1000)",Boost DenseBoruvka,4,61841.696532999995,1031.1039209654962
"('Preferential attachment 100 edges per vertice', 1000)",Boost DenseBoruvka,6,51855.7094115,735.713054371916
"('Preferential attachment 100 edges per vertice', 1000)",Boost DenseBoruvka,8,46623.4451905,715.096108968382
